size,dropout,accuracy,std_accuracy
32,0.0,0.9840463458110517,0.004419635033232593
32,0.1,0.9742424242424242,0.006057328462583311
32,0.2,0.9682709447415331,0.008976597726926314
32,0.3,0.9614081996434937,0.008553828413569324
64,0.0,0.9852941176470587,0.003603844317140052
64,0.1,0.982620320855615,0.004877592974157622
64,0.2,0.9823529411764707,0.006146502548865099
64,0.3,0.9764705882352942,0.0062668077829757364
128,0.0,0.9868092691622102,0.0028962703759843
128,0.1,0.9881461675579322,0.0025381516695005585
128,0.2,0.9890374331550801,0.003487343591178944
128,0.3,0.9868092691622105,0.003493033501295089
256,0.0,0.9872549019607841,0.005018862112406803
256,0.1,0.990374331550802,0.002545963789141848
256,0.2,0.9893048128342246,0.002583133109837696
256,0.3,0.989572192513369,0.0027194556688756514
