size,activation,accuracy,std_accuracy
32,relu,0.9715686274509805,0.006680925965030352
32,tanh,0.9806595365418896,0.004412439855431932
32,sigmoid,0.9688948306595364,0.004383541043621364
32,leaky_relu,0.9743315508021393,0.005299846255728544
64,relu,0.9842245989304812,0.0046576622568463115
64,tanh,0.9858288770053475,0.002069195502004258
64,sigmoid,0.9746880570409984,0.0034564562263218047
64,leaky_relu,0.9823529411764704,0.004214470737089801
128,relu,0.9871657754010696,0.0026197751259713045
128,tanh,0.9879679144385026,0.0036909588664614406
128,sigmoid,0.9793226381461675,0.0034472512666334646
128,leaky_relu,0.9894830659536543,0.002977414097770074
512,relu,0.9878787878787879,0.003456456226321795
512,tanh,0.9835115864527628,0.014708582909818775
512,sigmoid,0.9881461675579322,0.003996807009764468
512,leaky_relu,0.9887700534759357,0.004582873487409086
