size,num_layers,accuracy,std_accuracy
32,1,0.9796791443850269,0.00608154085890621
32,2,0.9903743315508022,0.003306102850444096
32,3,0.9889483065953655,0.0028520499108734454
32,4,0.9877005347593583,0.006349915554565733
64,1,0.986452762923351,0.0028962703759842895
64,2,0.9853832442067736,0.005954828195540135
64,3,0.9877005347593582,0.0024505752379442905
64,4,0.9814616755793226,0.008368409692909464
128,1,0.9880570409982175,0.0030925760379496505
128,2,0.9871657754010694,0.002852049910873426
128,3,0.9843137254901959,0.005215236662505433
128,4,0.9819964349376115,0.008602444571845743
512,1,0.9880570409982177,0.0033868092691622
512,2,0.983065953654189,0.006537297975362652
512,3,0.9857397504456327,0.003905330178289965
512,4,0.9852049910873439,0.003909396113985977
